2026-04-03 12:41:28.777 [background-preinit] INFO  o.h.validator.internal.util.Version [] [] - HV000001: Hibernate Validator 8.0.1.Final
2026-04-03 12:41:28.788 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - Starting SandboxWmsApplicationTests using Java 21.0.10 with PID 46039 (started by minchang in /Users/minchang/Desktop/repository/sandbox-wms)
2026-04-03 12:41:28.788 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - No active profile set, falling back to 1 default profile: "default"
2026-04-03 12:41:29.165 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-03 12:41:29.175 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] [] - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2026-04-03 12:41:29.360 [Test worker] INFO  o.h.jpa.internal.util.LogHelper [] [] - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-03 12:41:29.383 [Test worker] INFO  org.hibernate.Version [] [] - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-04-03 12:41:29.401 [Test worker] INFO  o.h.c.i.RegionFactoryInitiator [] [] - HHH000026: Second-level cache disabled
2026-04-03 12:41:29.509 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [] [] - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-03 12:41:29.521 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Starting...
2026-04-03 12:41:29.599 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool [] [] - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-04-03 12:41:29.600 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Start completed.
2026-04-03 12:41:29.611 [Test worker] WARN  org.hibernate.orm.deprecation [] [] - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-04-03 12:41:29.760 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [] [] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-03 12:41:29.762 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [] [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-03 12:41:29.893 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [] [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-03 12:41:30.105 [Test worker] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration [] [] - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2026-04-03 12:41:30.145 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - Started SandboxWmsApplicationTests in 1.535 seconds (process running for 2.113)
2026-04-03 12:41:30.543 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [] [] - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-03 12:41:30.545 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Shutdown initiated...
2026-04-03 12:41:30.546 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Shutdown completed.
2026-04-03 12:43:49.953 [background-preinit] INFO  o.h.validator.internal.util.Version [] [] - HV000001: Hibernate Validator 8.0.1.Final
2026-04-03 12:43:49.963 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - Starting SandboxWmsApplicationTests using Java 21.0.10 with PID 46286 (started by minchang in /Users/minchang/Desktop/repository/sandbox-wms)
2026-04-03 12:43:49.964 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - No active profile set, falling back to 1 default profile: "default"
2026-04-03 12:43:50.531 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-03 12:43:50.541 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] [] - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2026-04-03 12:43:50.733 [Test worker] INFO  o.h.jpa.internal.util.LogHelper [] [] - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-03 12:43:50.757 [Test worker] INFO  org.hibernate.Version [] [] - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-04-03 12:43:50.771 [Test worker] INFO  o.h.c.i.RegionFactoryInitiator [] [] - HHH000026: Second-level cache disabled
2026-04-03 12:43:50.874 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [] [] - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-03 12:43:50.886 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Starting...
2026-04-03 12:43:50.967 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool [] [] - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-04-03 12:43:50.968 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Start completed.
2026-04-03 12:43:50.979 [Test worker] WARN  org.hibernate.orm.deprecation [] [] - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-04-03 12:43:51.128 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [] [] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-03 12:43:51.131 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [] [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-03 12:43:51.259 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [] [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-03 12:43:51.470 [Test worker] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration [] [] - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2026-04-03 12:43:51.506 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - Started SandboxWmsApplicationTests in 1.707 seconds (process running for 2.269)
2026-04-03 12:43:52.088 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [] [] - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-03 12:43:52.089 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Shutdown initiated...
2026-04-03 12:43:52.091 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Shutdown completed.
2026-04-03 12:44:02.813 [background-preinit] INFO  o.h.validator.internal.util.Version [] [] - HV000001: Hibernate Validator 8.0.1.Final
2026-04-03 12:44:02.825 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - Starting SandboxWmsApplicationTests using Java 21.0.10 with PID 46318 (started by minchang in /Users/minchang/Desktop/repository/sandbox-wms)
2026-04-03 12:44:02.825 [Test worker] INFO  c.e.s.SandboxWmsApplicationTests [] [] - No active profile set, falling back to 1 default profile: "default"
2026-04-03 12:44:03.193 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-03 12:44:03.202 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] [] - Finished Spring Data repository scanning in 5 ms. Found 0 JPA repository interfaces.
2026-04-03 12:44:03.388 [Test worker] INFO  o.h.jpa.internal.util.LogHelper [] [] - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-03 12:44:03.414 [Test worker] INFO  org.hibernate.Version [] [] - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-04-03 12:44:03.430 [Test worker] INFO  o.h.c.i.RegionFactoryInitiator [] [] - HHH000026: Second-level cache disabled
2026-04-03 12:44:03.477 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [] [] - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-03 12:44:03.488 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Starting...
2026-04-03 12:44:03.575 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool [] [] - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-04-03 12:44:03.576 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource [] [] - HikariPool-1 - Start completed.
